Genres,year,year_violence_grade
family,1970,21
fantasy,1971,12
action,1971,238
crime,1971,351
drama,1971,544
Sci-Fi,1971,72
adventure,1971,112
comedy,1971,236
thriller,1971,133
musical,1971,20
western,1971,176
romance,1971,54
war,1971,50
horror,1971,120
sport,1971,8
history,1971,30
family,1971,27
fantasy,1972,18
action,1972,280
crime,1972,423
drama,1972,520
Sci-Fi,1972,64
adventure,1972,105
comedy,1972,232
thriller,1972,203
musical,1972,20
western,1972,216
romance,1972,39
war,1972,10
horror,1972,280
sport,1972,12
history,1972,12
family,1972,33
fantasy,1973,24
action,1973,343
crime,1973,585
drama,1973,580
Sci-Fi,1973,88
adventure,1973,126
comedy,1973,220
thriller,1973,210
musical,1973,20
western,1973,136
romance,1973,51
war,1973,10
horror,1973,320
sport,1973,24
history,1973,12
family,1973,30
fantasy,1974,36
action,1974,336
crime,1974,531
drama,1974,464
Sci-Fi,1974,56
adventure,1974,175
comedy,1974,212
thriller,1974,245
musical,1974,24
western,1974,96
romance,1974,72
war,1974,10
horror,1974,210
sport,1974,4
history,1974,18
family,1974,48
fantasy,1975,9
action,1975,252
crime,1975,360
drama,1975,376
Sci-Fi,1975,72
adventure,1975,224
comedy,1975,224
thriller,1975,126
musical,1975,12
western,1975,96
romance,1975,42
war,1975,40
horror,1975,120
sport,1975,12
history,1975,42
family,1975,48
fantasy,1976,12
action,1976,287
crime,1976,396
drama,1976,440
Sci-Fi,1976,64
adventure,1976,147
comedy,1976,212
thriller,1976,175
musical,1976,4
western,1976,168
romance,1976,57
war,1976,10
horror,1976,190
sport,1976,16
history,1976,12
family,1976,60
fantasy,1977,30
action,1977,231
crime,1977,225
drama,1977,400
Sci-Fi,1977,96
adventure,1977,224
comedy,1977,256
thriller,1977,168
musical,1977,16
western,1977,32
romance,1977,48
war,1977,20
horror,1977,180
sport,1977,24
history,1977,18
family,1977,33
fantasy,1978,24
action,1978,231
crime,1978,261
drama,1978,420
Sci-Fi,1978,88
adventure,1978,133
comedy,1978,220
thriller,1978,140
musical,1978,24
western,1978,32
romance,1978,48
war,1978,60
horror,1978,220
sport,1978,28
history,1978,30
family,1978,51
fantasy,1979,6
action,1979,189
crime,1979,216
drama,1979,380
Sci-Fi,1979,80
adventure,1979,154
comedy,1979,264
thriller,1979,112
musical,1979,12
western,1979,72
romance,1979,60
war,1979,30
horror,1979,140
sport,1979,36
history,1979,12
family,1979,33
fantasy,1980,24
action,1980,238
crime,1980,234
drama,1980,384
Sci-Fi,1980,96
adventure,1980,168
comedy,1980,300
thriller,1980,161
musical,1980,12
western,1980,40
romance,1980,72
war,1980,40
horror,1980,190
sport,1980,12
history,1980,18
family,1980,18
fantasy,1981,24
action,1981,217
crime,1981,234
drama,1981,368
Sci-Fi,1981,56
adventure,1981,182
comedy,1981,216
thriller,1981,224
musical,1981,24
western,1981,32
romance,1981,54
war,1981,20
horror,1981,320
sport,1981,16
history,1981,36
family,1981,21
fantasy,1982,39
action,1982,210
crime,1982,252
drama,1982,360
Sci-Fi,1982,128
adventure,1982,175
comedy,1982,248
thriller,1982,154
musical,1982,20
western,1982,48
romance,1982,48
war,1982,40
horror,1982,300
sport,1982,12
history,1982,24
family,1982,33
fantasy,1983,18
action,1983,189
crime,1983,207
drama,1983,460
Sci-Fi,1983,112
adventure,1983,126
comedy,1983,260
thriller,1983,133
musical,1983,24
western,1983,24
romance,1983,72
war,1983,60
horror,1983,190
sport,1983,24
history,1983,6
family,1983,15
fantasy,1984,36
action,1984,308
crime,1984,279
drama,1984,492
Sci-Fi,1984,144
adventure,1984,203
comedy,1984,368
thriller,1984,175
musical,1984,16
western,1984,8
romance,1984,114
war,1984,70
horror,1984,210
sport,1984,12
history,1984,30
family,1984,36
fantasy,1985,60
action,1985,385
crime,1985,351
drama,1985,456
Sci-Fi,1985,128
adventure,1985,294
comedy,1985,408
thriller,1985,161
musical,1985,12
western,1985,16
romance,1985,108
war,1985,70
horror,1985,250
sport,1985,12
history,1985,6
family,1985,60
fantasy,1986,30
action,1986,329
crime,1986,387
drama,1986,452
Sci-Fi,1986,168
adventure,1986,161
comedy,1986,344
thriller,1986,245
musical,1986,20
western,1986,24
romance,1986,96
war,1986,30
horror,1986,300
sport,1986,48
history,1986,12
family,1986,39
fantasy,1987,48
action,1987,273
crime,1987,360
drama,1987,480
Sci-Fi,1987,104
adventure,1987,161
comedy,1987,364
thriller,1987,245
musical,1987,28
western,1987,8
romance,1987,108
war,1987,30
horror,1987,270
sport,1987,4
history,1987,12
family,1987,42
fantasy,1988,42
action,1988,315
crime,1988,270
drama,1988,468
Sci-Fi,1988,120
adventure,1988,98
comedy,1988,332
thriller,1988,259
musical,1988,28
western,1988,16
romance,1988,96
war,1988,90
horror,1988,380
sport,1988,16
history,1988,12
family,1988,21
fantasy,1989,33
action,1989,364
crime,1989,351
drama,1989,444
Sci-Fi,1989,88
adventure,1989,126
comedy,1989,324
thriller,1989,224
musical,1989,4
western,1989,8
romance,1989,72
war,1989,70
horror,1989,370
sport,1989,12
history,1989,36
family,1989,18
fantasy,1990,18
action,1990,315
crime,1990,369
drama,1990,472
Sci-Fi,1990,112
adventure,1990,91
comedy,1990,364
thriller,1990,287
musical,1990,24
western,1990,32
romance,1990,90
war,1990,60
horror,1990,390
sport,1990,24
history,1990,30
family,1990,12
fantasy,1991,33
action,1991,273
crime,1991,315
drama,1991,520
Sci-Fi,1991,96
adventure,1991,126
comedy,1991,364
thriller,1991,231
musical,1991,12
western,1991,24
romance,1991,84
war,1991,30
horror,1991,230
sport,1991,20
history,1991,36
family,1991,27
fantasy,1992,24
action,1992,287
crime,1992,342
drama,1992,444
Sci-Fi,1992,32
adventure,1992,63
comedy,1992,308
thriller,1992,266
musical,1992,0
western,1992,16
romance,1992,93
war,1992,30
horror,1992,160
sport,1992,12
history,1992,0
family,1992,24
fantasy,1993,24
action,1993,245
crime,1993,360
drama,1993,456
Sci-Fi,1993,64
adventure,1993,49
comedy,1993,240
thriller,1993,308
musical,1993,12
western,1993,32
romance,1993,84
war,1993,30
horror,1993,190
sport,1993,4
history,1993,12
family,1993,30
fantasy,1994,33
action,1994,266
crime,1994,306
drama,1994,520
Sci-Fi,1994,40
adventure,1994,105
comedy,1994,264
thriller,1994,308
musical,1994,8
western,1994,24
romance,1994,81
war,1994,30
horror,1994,150
sport,1994,28
history,1994,12
family,1994,39
fantasy,1995,27
action,1995,210
crime,1995,162
drama,1995,404
Sci-Fi,1995,48
adventure,1995,105
comedy,1995,204
thriller,1995,238
musical,1995,12
western,1995,40
romance,1995,90
war,1995,10
horror,1995,110
sport,1995,8
history,1995,0
family,1995,30
fantasy,1996,6
action,1996,175
crime,1996,180
drama,1996,368
Sci-Fi,1996,104
adventure,1996,49
comedy,1996,248
thriller,1996,105
musical,1996,0
western,1996,16
romance,1996,54
war,1996,10
horror,1996,110
sport,1996,8
history,1996,6
family,1996,18
fantasy,1997,15
action,1997,105
crime,1997,72
drama,1997,324
Sci-Fi,1997,64
adventure,1997,49
comedy,1997,284
thriller,1997,105
musical,1997,0
western,1997,0
romance,1997,57
war,1997,0
horror,1997,120
sport,1997,8
history,1997,6
family,1997,18
fantasy,1998,6
action,1998,105
crime,1998,81
drama,1998,376
Sci-Fi,1998,16
adventure,1998,63
comedy,1998,268
thriller,1998,112
musical,1998,4
western,1998,0
romance,1998,69
war,1998,0
horror,1998,50
sport,1998,0
history,1998,12
family,1998,12
fantasy,1999,9
action,1999,84
crime,1999,99
drama,1999,296
Sci-Fi,1999,56
adventure,1999,42
comedy,1999,264
thriller,1999,105
musical,1999,0
western,1999,8
romance,1999,45
war,1999,0
horror,1999,170
sport,1999,0
history,1999,0
family,1999,15
fantasy,2000,15
action,2000,105
crime,2000,108
drama,2000,324
Sci-Fi,2000,56
adventure,2000,35
comedy,2000,292
thriller,2000,133
musical,2000,8
western,2000,0
romance,2000,72
war,2000,0
horror,2000,70
sport,2000,4
history,2000,0
family,2000,27
fantasy,2001,9
action,2001,112
crime,2001,117
drama,2001,328
Sci-Fi,2001,88
adventure,2001,56
comedy,2001,300
thriller,2001,98
musical,2001,4
western,2001,8
romance,2001,54
war,2001,20
horror,2001,100
sport,2001,8
history,2001,6
family,2001,21
fantasy,2002,27
action,2002,154
crime,2002,99
drama,2002,368
Sci-Fi,2002,88
adventure,2002,91
comedy,2002,268
thriller,2002,140
musical,2002,12
western,2002,8
romance,2002,30
war,2002,10
horror,2002,140
sport,2002,0
history,2002,0
family,2002,27
fantasy,2003,18
action,2003,140
crime,2003,144
drama,2003,468
Sci-Fi,2003,88
adventure,2003,56
comedy,2003,352
thriller,2003,168
musical,2003,0
western,2003,16
romance,2003,36
war,2003,40
horror,2003,100
sport,2003,0
history,2003,6
family,2003,18
fantasy,2004,12
action,2004,105
crime,2004,135
drama,2004,492
Sci-Fi,2004,40
adventure,2004,49
comedy,2004,328
thriller,2004,217
musical,2004,8
western,2004,16
romance,2004,21
war,2004,40
horror,2004,130
sport,2004,4
history,2004,6
family,2004,15
fantasy,2005,18
action,2005,105
crime,2005,81
drama,2005,440
Sci-Fi,2005,32
adventure,2005,42
comedy,2005,364
thriller,2005,168
musical,2005,4
western,2005,16
romance,2005,45
war,2005,0
horror,2005,180
sport,2005,4
history,2005,0
family,2005,12
fantasy,2006,12
action,2006,35
crime,2006,90
drama,2006,512
Sci-Fi,2006,40
adventure,2006,35
comedy,2006,336
thriller,2006,147
musical,2006,16
western,2006,16
romance,2006,27
war,2006,20
horror,2006,110
sport,2006,4
history,2006,6
family,2006,18
fantasy,2007,12
action,2007,91
crime,2007,144
drama,2007,412
Sci-Fi,2007,128
adventure,2007,35
comedy,2007,348
thriller,2007,133
musical,2007,4
western,2007,0
romance,2007,60
war,2007,30
horror,2007,290
sport,2007,12
history,2007,6
family,2007,12
fantasy,2008,24
action,2008,161
crime,2008,180
drama,2008,412
Sci-Fi,2008,72
adventure,2008,56
comedy,2008,320
thriller,2008,161
musical,2008,8
western,2008,16
romance,2008,51
war,2008,20
horror,2008,360
sport,2008,4
history,2008,12
family,2008,18
fantasy,2009,33
action,2009,161
crime,2009,144
drama,2009,408
Sci-Fi,2009,72
adventure,2009,35
comedy,2009,384
thriller,2009,133
musical,2009,16
western,2009,16
romance,2009,54
war,2009,20
horror,2009,300
sport,2009,28
history,2009,12
family,2009,36
fantasy,2010,30
action,2010,252
crime,2010,180
drama,2010,444
Sci-Fi,2010,88
adventure,2010,77
comedy,2010,336
thriller,2010,161
musical,2010,8
western,2010,8
romance,2010,60
war,2010,10
horror,2010,290
sport,2010,0
history,2010,12
family,2010,33
fantasy,2011,27
action,2011,189
crime,2011,153
drama,2011,428
Sci-Fi,2011,104
adventure,2011,112
comedy,2011,348
thriller,2011,280
musical,2011,4
western,2011,0
romance,2011,72
war,2011,20
horror,2011,470
sport,2011,16
history,2011,6
family,2011,27
fantasy,2012,30
action,2012,133
crime,2012,189
drama,2012,488
Sci-Fi,2012,72
adventure,2012,49
comedy,2012,352
thriller,2012,210
musical,2012,20
western,2012,8
romance,2012,60
war,2012,0
horror,2012,440
sport,2012,4
history,2012,6
family,2012,33
fantasy,2013,33
action,2013,161
crime,2013,99
drama,2013,480
Sci-Fi,2013,128
adventure,2013,70
comedy,2013,328
thriller,2013,252
musical,2013,20
western,2013,24
romance,2013,57
war,2013,0
horror,2013,440
sport,2013,12
history,2013,6
family,2013,39
fantasy,2014,33
action,2014,189
crime,2014,144
drama,2014,464
Sci-Fi,2014,120
adventure,2014,91
comedy,2014,328
thriller,2014,245
musical,2014,8
western,2014,24
romance,2014,51
war,2014,10
horror,2014,410
sport,2014,20
history,2014,18
family,2014,33
fantasy,2015,57
action,2015,175
crime,2015,189
drama,2015,504
Sci-Fi,2015,96
adventure,2015,91
comedy,2015,356
thriller,2015,203
musical,2015,16
western,2015,16
romance,2015,54
war,2015,0
horror,2015,380
sport,2015,4
history,2015,12
family,2015,27
fantasy,2016,42
action,2016,196
crime,2016,189
drama,2016,492
Sci-Fi,2016,64
adventure,2016,91
comedy,2016,248
thriller,2016,273
musical,2016,16
western,2016,8
romance,2016,42
war,2016,0
horror,2016,490
sport,2016,8
history,2016,24
family,2016,21
fantasy,2017,39
action,2017,175
crime,2017,117
drama,2017,476
Sci-Fi,2017,88
adventure,2017,84
comedy,2017,256
thriller,2017,217
musical,2017,12
western,2017,0
romance,2017,27
war,2017,0
horror,2017,410
sport,2017,8
history,2017,6
family,2017,27
fantasy,2018,12
action,2018,154
crime,2018,153
drama,2018,408
Sci-Fi,2018,72
adventure,2018,98
comedy,2018,332
thriller,2018,210
musical,2018,4
western,2018,24
romance,2018,48
war,2018,40
horror,2018,350
sport,2018,4
history,2018,6
family,2018,36
fantasy,2019,12
action,2019,147
crime,2019,171
drama,2019,468
Sci-Fi,2019,96
adventure,2019,56
comedy,2019,260
thriller,2019,231
musical,2019,16
western,2019,16
romance,2019,39
war,2019,0
horror,2019,460
sport,2019,4
history,2019,12
family,2019,27
